Nombre grupo,Nombre,Cod. Fact,Cod,FAM,Marca,Pdte 05.05,Fact a abr12,Fact a abr11,FC NT abr12,FC NT abr11,Ped a abr12,Ped a abr11,Fact_tot 2011,Fact_tot 2010,Pzas último pedido,Fecha últ. Ped.,Provincia,Dirección,Localidad,CP,Tel.
OPTICALIA,"PINOSO, OPT. TORTOSA CANTO ELSA",007865,007865,,MAC,,0,6,0.00,244.00,0.00,6.00,6,,,,ALICANTE,"JUAN CARLOS I, 3",PINOSO (ALICANTE),03650,966966037
NATURAL OPTICS,VISUAL 20 PRIETO HERNANDEZ FRANCISCO,010153,010153,,MAC,,0,6,0.00,290.00,0.00,6.00,6,1,,,ALICANTE,"HISTORIADOR VICENTE RAMOS, 3",PLAYA DE SAN JUAN (ALICANT,03540,965157240
CIOSA,"NATHALIE, OPTICA RAYA LLANEZA NATHALIE",008337,006514,,MAC,,,,,,,,0,3,,,ALICANTE,"SAN POLICARPO, 2",TORREVIEJA (ALICANTE),03181,965714304
VISTALIA,"TORREVIEJA, OPT. ESPINOSA NOGUEROLJOSE ANTONIO",003813,003813,,MAC,,,,,,,,3,1,,,ALICANTE,"CHAPAPRIERTA,24",TORREVIEJA (ALICANTE),03181,965715160
REDVISUAL-PROVISION,"TOMAS ROCHA, OPTICA INMOMIX VISION, S.L.U.",012513,012513,,MAC,,,,,,,,0,5,,,ALICANTE,"COLON, 6",VILLAJOYOSA (ALICANTE),03570,966851018
OPTICALIA,"MURILLO OPTICOS MURILLO OPTICOS, S.C.",006436,006436,,MAC,,,,,,,,0,15,,,ALICANTE,"JOAQUIN MARIA LOPEZ, 15",VILLENA (ALICANTE),03400,965801495
CLIENTES IMPORTANTES,"PARRA, OPT. OPTICA PARRA S.L",002341,002341,,MAC,,0,8,0.00,345.00,0.00,9.00,9,,,,ALICANTE,"TRINIDAD, 17",VILLENA (ALICANTE),03400,965802227
ZAS VISION,"BENICARLO, OPTICA LABORATORIOS COSAFAR, S.A",003588,004524,,MAC,,,,,,,,0,5,,,CASTELLON,"PIO XII, 23",BENICARLO (CASTELLON),12580,964461721
FARMAOPTICS,"SSIM, OPT. OPTICA SSIM, S.L.",006557,006557,,MAC,,0,10,0.00,455.00,-1.00,10.00,21,,11,2011-10-20,CASTELLON,"STO.TOMAS, 77",BENICASIM (CASTELLON),12560,964304009
ALAIN AFFLELOU ASOC.,"ALAIN AFFLELOU CASTELLON OPTICAS AZAHAR, S.L",013371,013371,,MAC,,1,0,37.00,0.00,1.00,0.00,,,,,CASTELLON,"AVDA. DEL MAR, S/N C.C.CARREFOUR CASTELLON",CASTELLON DE LA PLANA,12003,686930289
OPTIMIL ASOCIADOS,"CADENA VISUAL OPTIMIL CADENA VISUAL, S.A.",006479,006479,,MAC,,-191,0,"-7,538.00",7.00,0.00,71.00,15,383,,,CASTELLON,"CALLE G, PARCELA 301 POL. IND. LA MEZQUITA",LA VALL D'UXO (CASTELLON),12600,902180247
CIOSA,VISION SEGORBE SANCHEZ MARIN CESAR,008337,008847,,MAC,,0,18,0.00,666.00,0.00,19.00,20,,,,CASTELLON,"PZA.REY DON JAIME I, 1 BAJO",SEGORBE (CASTELLON),12400,964710026
PREFERENTES,"VILA-REAL, OPT. VILA-REAL, C.B.",003575,003575,,MAC,,3,15,117.00,639.00,0.00,16.00,16,3,4,2011-11-26,CASTELLON,"DOCTOR FONT,17",VILAREAL (CASTELLON),12540,964531368
MULTIOPTICAS,"IBARRA, MULTIOPTICAS BALAGUER-IBARRA,S.L.",000369,000369,,MAC,,15,0,622.00,0.00,11.00,0.00,36,,40,2011-11-09,CASTELLON,"MAYOR SAN JAIME, 12",VILLARREAL INF.(CASTELLON),12540,964520382
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU ASOCIADOS BENARA OPTICS S.L,012243,012243,W45,MAC,,,,,,,,0,6,,,CASTELLON,CTRA NAC 340 KM 1049 C. COMERCIAL VINAROZ,VINAROZ (CASTELLON),12500,964400289
MULTIOPTICAS,"BARREDA, OPTICA BARREDA CALLAU VICENTE EMILIO",000060,000060,M10,MAC,,0,0,0.00,0.00,0.00,10.00,10,0,,,CASTELLON,"PZ. SAN ANTONIO, 20 BIS",VINAROZ (CASTELLON),12500,964450248
ZAS VISION,"ALCON, OPTICA LOPEZ ALCON DIEGO",003588,006669,,MAC,,,,,,,,0,4,,,MURCIA,"RAMBLA D.DIEGO,ESQ.POSTIGO",ALHAMA DE MURCIA,30840,968633547
ALAIN AFFLELOU ASOC.,ALAIN AFFLELOU OPT. CARAVACA   VISUAL CARAVACA S.L,012411,012411,,MAC,,,,,,,,0,3,,,MURCIA,"GRAN VIA, 50",CARAVACA DE LA CRUZ MURCIA,30400,636141238
CLIENTES IMPORTANTES,"LAN, OPTICA OPTICA LAN, S.L",009424,009424,X15,MAC,,,,,,,,0,4,,,MURCIA,"VENECIA, 36 LOCAL 8 POL.IND. SANTA ANA",CARTAGENA (MURCIA),30319,968515846
IMPORTANTES 1,OXFORD CENTRO VISION RODERO PATERNA MARIA JOSE,000562,000562,Y39,MAC,,-3,20,-105.00,747.00,1.00,23.00,20,34,,,MURCIA,"PUERTA DE MURCIA, 6-8",CARTAGENA (MURCIA),30201,968507592
REDVISUAL-PROVISION,"APOLO, OPTICA PENALVA HERRERO Mª PILAR",008945,008945,,MAC,,1,0,47.00,0.00,1.00,0.00,,,,,MURCIA,"PZA.DOS DE MAYO, 1 BAJO",CIEZA (MURCIA),30530,968454595
FARMAOPTICS,"CIEZA, C.OPT. M.CARMEN ELIO Y P.LUCAS C.B.",007207,007207,,MAC,,0,1,0.00,45.00,0.00,0.00,1,4,,,MURCIA,"BUEN SUCESO, 25",CIEZA (MURCIA),30530,968773328
CIOSA,EUROPTICA GARCIA SANCHEZ AMPARO,008337,007306,,MAC,,0,1,0.00,38.00,0.00,1.00,1,,,,MURCIA,"BUEN SUCESO, 53",CIEZA (MURCIA),30530,968455297
,"LEGAZ, OPTICA GARCIA LEGAZ JUANA",008116,008116,,MAC,,,,,,,,-1,,,,MURCIA,"AVD. 1º DE MAYO, 141 BIS",EL PALMAR (MURCIA),30120,968884582
CIOSA,"EL RAAL, OPTICA OPTICA EL RAAL, S.L.L.",008337,006700,,MAC,,0,13,0.00,529.00,0.00,13.00,13,-1,,,MURCIA,"C/ MAYOR, 343",EL RAAL ( MURCIA ),30139,968870199
,"CORREDERA, OPT. OPTICA CORREDERA, S.L.",010993,010993,,MAC,,0,0,0.00,0.00,0.00,-2.00,0,5,,,MURCIA,"CORREDERA, 26",LORCA (MURCIA),30800,968478479
MULTIOPTICAS,"CRISTAL, OPTICA GERMANOPTIC S.L.",003311,003311,Y15,MAC,2,22,2,981.00,64.00,24.00,0.00,2,26,24,2012-03-14,MURCIA,"AV. JUAN CARLOS I, 23",LORCA (MURCIA),30800,968467905
,"GARVI, OPTICOS GARCIA VICENTE AMPARO",012847,012847,,MAC,,,,,,,,0,10,,,MURCIA,"CRTRA. DE MADRID, S.N C. CCIAL. EROSKI-LOCAL 15",MOLINA DE SEGURA (MURCIA),30500,968386580
IMPORTANTES 1,"VIREX, OPTICA VICENTE REX FCO JOSE",005446,005446,Y46,MAC,,0,5,0.00,198.00,-1.00,3.00,20,18,12,2011-10-25,MURCIA,"SANTA TERESA, 7",MOLINA DE SEGURA (MURCIA),30500,968642832
REDVISUAL-PROVISION,"BELO, OPTICA OPTICA BELO, S.L.",000065,000065,,MAC,,,,,,,,1,,,,MURCIA,"PLATERIA, 4",MURCIA,30004,968213202
CLIENTES IMPORTANTES,"GRAN VISION, OPTICA PEREZ PUCHE JULIAN JOSE",008581,008581,,MAC,,25,23,985.00,931.00,31.00,24.00,23,,13,2012-01-25,MURCIA,"ALAMEDA CAPUCHINOS, 6",MURCIA,30002,968937386
CECOP,IVISUAL CUADRUPANI BOSQUED ANTONIA,008695,008695,,MAC,,,,,,,,0,17,,,MURCIA,"PASEO DUQUES DE LUGO, S/N",MURCIA,30009,968297392
ZAS VISION,"LARA, OPTICA LARA LACARCEL FRANCISCO",003588,001737,,MAC,,0,5,0.00,210.00,0.00,2.00,9,12,,,MURCIA,"ESCULTOR ROQUE LOPEZ, 4",MURCIA,30008,968239349
CIOSA,"MEDICA, OPTICA OPTICA MEDICA, C.B.",008337,001740,,MAC,2,,,,,,,,,,,MURCIA,"CEBALLOS, 5",MURCIA,30003,968909790
CLIENTES IMPORTANTES,MORA S.L.-GRADUADO-,007519,007519,Y56,MAC,1,15,7,630.00,291.00,16.00,6.00,32,14,16,2012-03-01,MURCIA,"PUXMARINA, 1",MURCIA,30004,968217777
CLIENTES IMPORTANTES,"MORA, OPTICA -SOL- MARTINEZ MINGUEZ BLANCA",004461,004461,Y56,MAC,,,,,,,,-2,,,,MURCIA,"MAESTRO ALONSO, 1",MURCIA,30005,968215148
CECOP,"ORO, OPTICA SANTOFIMIA PEREZ Mª TERESA",008664,008664,,MAC,,,,,,,,0,-1,,,MURCIA,"SAN JUAN DE LA CRUZ, 6",MURCIA,30011,968346305
CIOSA,"PRINCESA, OPTICA M.C. E I. LOPEZ MECA, S.C.",008337,005202,,MAC,,,,,,,,1,,,,MURCIA,"PRINCESA, 9",MURCIA,30002,968215806
CLIENTES IMPORTANTES,"SOCIEDAD, OPTICA A.GARCIA MERINO Y OTRA C.B.",009831,009831,,MAC,,0,1,0.00,37.00,0.00,-1.00,1,3,,,MURCIA,"SOCIEDAD, 9",MURCIA,30004,968225097
FEDEROPTICOS,"VISTA ALEGRE, OPTICA PILAR MARIN, PABLO NAVARRO C.B",006134,006134,,MAC,,,,,,,,0,8,,,MURCIA,"MARIA MAROTO, 14",MURCIA,30007,968241726
REDVISUAL-PROVISION,"VISTA-BELLA, OPTICA GOMEZ LOPEZ BELEN",009739,009739,,MAC,,0,4,0.00,164.00,0.00,4.00,5,1,,,MURCIA,"CAPITAN BALACA, 4",MURCIA,30003,868950137
REDVISUAL-PROVISION,"MAYOR, OPTICA MARTINEZ PEDREÑO ANTONIO",005482,005482,,MAC,,,,,,,,6,,,,MURCIA,"MAYOR,142",PUENTE TOCINOS(MURCIA),30006,968302325
,"GIMENEZ, OPTICOS JIMENEZ SANCHEZ RAQUEL",007170,007170,,MAC,,,,,,,,0,1,,,MURCIA,"AV.SANDOVAL, 23",SANTIAGO LA RIBERA(MURCIA),30720,968571827
CIOSA,"TESSA, OPTICA CACERES HDEZ ROS MARIA TERESA",008337,001510,,MAC,1,14,3,631.00,105.00,15.00,-1.00,3,17,15,2012-03-15,MURCIA,GLORIA 6,SANTOMERA (MURCIA),30140,968860201
ZAS VISION,"CANOVAS, OPTICA CRESPO CANOVAS, S.L.",003588,004207,,MAC,,,,,,,,0,0,,,MURCIA,"CALVO SOTELO, 17",TOTANA (MURCIA),30850,968424818
ZAS VISION,"PRINCIPAL, OPTICA OPT. PRINCIPAL Y ASOCIADOS S.L",003588,013043,,MAC,,0,2,0.00,82.00,0.00,0.00,2,14,,,MURCIA,"MAYOR, 108","UNION, LA (MURCIA)",30360,968560429
CLIENTES IMPORTANTES,INMA ILLUECA OPTICOS ARAMBARRI ILLUECA LAURA,013176,013176,,MAC,,0,0,0.00,0.00,0.00,-53.00,0,0,,,VALENCIA,FACTORY BONAIRE LOCAL A1 CARRETERA MADRID VALENCIA K345,ALDAYA (VALENCIA),46960,961920351
CECOP,"MONTRULL, OPTICA MONTRULL PERALES M TERESA",003819,003819,,MAC,,0,7,0.00,300.00,0.00,7.00,11,20,,,VALENCIA,"CERVANTES,4",ALGEMESI (VALENCIA),46680,962481189
FARMAOPTICS,ALMASSERA FERNANDEZ-VICENTI GARRIDO EMMA,005644,005644,,MAC,,0,1,0.00,48.00,0.00,0.00,7,17,8,2011-08-30,VALENCIA,"VALENCIA, 1",ALMASSERA (VALENCIA),46132,961858533
IMPORTANTES 1,SANTOS PATRONOS ESCRIVA BLASCO MILAGROS,006033,006033,,MAC,,0,24,0.00,"1,023.00",0.00,25.00,24,24,,,VALENCIA,AV.SANTOS PATRONOS 18 BAJOS,ALZIRA (VALENCIA),46600,962414823
PREFERENTES,"BELLREGUARD, OPT. ESCRIVA BLASCO MIRIAM",003941,003941,,MAC,,1,2,40.00,87.00,1.00,2.00,3,1,,,VALENCIA,"REI EN JAUME, 6",BELLREGUART (VALENCIA),46713,962815251
REDVISUAL-PROVISION,"CLERIGUES, OPTICA CLERIGUES BALTASAR CARMEN",008733,008733,,MAC,,,,,,,,0,-1,,,VALENCIA,"ANGEL, 15",BENIFAYO (VALENCIA),46450,961780017
CECOP,"ALCOCER, C.OPT. OPTICA ALCOCER, C.B.",008652,008652,,MAC,,,,,,,,0,1,,,VALENCIA,"CARRETERA LIRIA, 25",BURJASOT (VALENCIA),46100,963638070
VISTALIA,"CARCAGENTE, C.OPT. CENTRE OPTIC CARCAIXENT S.L.",004718,004718,,MAC,,10,8,475.00,359.00,10.00,11.00,10,4,4,2012-01-17,VALENCIA,"JULIAN RIBERA, 32",CARCAIXENT (VALENCIA),46740,962460435
CIOSA,"CARLET, OPT. OPTICA CARLET S.L.",008337,003651,,MAC,,0,0,0.00,0.00,0.00,-1.00,0,10,,,VALENCIA,"BALAGUER,2",CARLET (VALENCIA),46240,962532071
ZAS VISION,"CREMADES, OPTICA OPTICA CREMADES S.L.",003588,010292,,MAC,,0,0,0.00,0.00,0.00,-1.00,13,16,15,2011-10-16,VALENCIA,"AV. VALENCIA, 25",CASINOS (VALENCIA),46171,962700274
,"CATARROJA, OPT. C. OPT. POBLA LLARGA, S.L",012938,012938,,MAC,,,,,,,,0,37,,,VALENCIA,"RAMóN Y CAJAL, 49",CATARROJA (VALENCIA),46470,961266238
OPTICALIA,OPTICA CATARROJA OPTICA LA POBLA S.L.,012306,012306,,MAC,,0,24,0.00,880.00,-1.00,24.00,37,,21,2011-10-13,VALENCIA,"RAMON Y CAJAL, 49",CATARROJA (VALENCIA),46470,961266238
PRIMERA OPTICOS,"LOZANO, OPT. OPTICAS LOZANO S.L.",003157,003157,,MAC,24,0,0,0.00,0.00,24.00,0.00,,,24,2012-04-27,VALENCIA,"CHIVA, 39",CHESTE (VALENCIA),46380,962510797
FARMAOPTICS,SANZ. OPT. SANZ CASANOVA PURIFICACION,003427,003427,,MAC,,1,1,49.00,53.00,1.00,0.00,9,46,10,2011-09-19,VALENCIA,"CTRA. TORRENTE, 26",CHIRIVELLA (VALENCIA),46950,963833486
CIOSA,"CHIVA, OPT. AVIÑO IGUAL Mª GEMMA",008337,007049,,MAC,,1,0,48.00,0.00,-1.00,0.00,9,,10,2011-11-26,VALENCIA,"DR. NACHER, 62",CHIVA (VALENCIA),46370,962522234
CLIENTES IMPORTANTES,"AVINGUDA 34, OPTICA GAVILA CELDA GLORIA",010608,010608,,MAC,,,,,,,,0,,,,VALENCIA,"AVD.HUGO BACHARACH, 34",FOIOS (VALENCIA),46134,961480387
MULTIOPTICAS,"BORJA II, OPTICA BORJA ALBI LUIS",000070,000070,X13,MAC,,5,0,214.00,0.00,5.00,0.00,1,9,5,2012-03-07,VALENCIA,"PASEO GERMANIAS, 69",GANDIA (VALENCIA),46700,962860911
IMPORTANTES 1,"BORJA, OPTICA BORJA OPTICOS, S.L",000069,000069,M04,MAC,,-1,44,-35.00,"1,680.00",0.00,44.00,49,0,,,VALENCIA,"SAN FRANCISCO BORJA, 57 APARTADO DE CORREOS, 122",GANDIA (VALENCIA),46700,962872444
CLIENTES IMPORTANTES,"GONZALO, OPTICO OPTICA GONZALO, S.L.",006006,006006,,MAC,,6,0,222.00,0.00,6.00,0.00,0,0,2,2012-01-17,VALENCIA,"PZ. LEANDRO CALVO, 2-B",GANDIA (VALENCIA),46700,962871407
ZAS VISION,"MORENO, OPTICA MORENO VISION S L",003588,001425,,MAC,,0,16,0.00,663.00,0.00,16.00,16,,,,VALENCIA,"BENEFICENCIA, 2",GANDIA (VALENCIA),46701,962871350
CLIENTES IMPORTANTES,"PASCUAL, OPTICA S.GREGORI PASCUAL Y HNOS.",008084,008084,,MAC,,,,,,,,0,19,,,VALENCIA,"MAYOR, 25",GANDIA (VALENCIA),46700,962872290
OPTICALIA,"VELEZ, OPTICA OPTICA VELEZ, S.L.",005767,005767,,MAC,,0,15,0.00,602.00,0.00,15.00,15,,,,VALENCIA,"P.GERMANIAS, 60",GANDIA (VALENCIA),46700,962877635
CIOSA,"RIBES, OPT. RIBES VICEDO INMACULADA",008337,003824,,MAC,,3,1,113.00,47.00,0.00,1.00,38,18,22,2011-10-19,VALENCIA,"DUQUE CARLOS DE BORJA, 18",GANDIA-VALENCIA,46701,962876084
CLIENTES IMPORTANTES,"LA ELIANA, C.OPT. CENTRE OPTIC L'ELIANA SL",007658,007658,,MAC,,1,16,49.00,645.00,1.00,16.00,28,14,4,2011-09-02,VALENCIA,"MARQUES DE CACERES, 20",LA ELIANA (VALENCIA),46183,961656902
,"LA POBLA, OPTICA C. OPT. LA POBLA LLARGA S.L",012939,012939,,MAC,,,,,,,,0,17,,,VALENCIA,"GLORIETA, 1 BAJO",LA POBLA LLARGA (VALENCIA),46670,962590522
CLARAVISION,"BONO CARRIO, OPTICA CARRIO SERVERA JULIAN",000187,000187,,MAC,,,,,,,,0,2,,,VALENCIA,"PLAZA MAYOR,6",LLOMBAY (VALENCIA),46195,962990940
CLIENTES IMPORTANTES,"RAUSELL, OPTICA RAUSELL GARCIA MARIA PILAR",001298,001298,,MAC,,0,12,0.00,480.00,0.00,15.00,14,,,,VALENCIA,"AVDA. MAYOR, 5",MASSAMAGRELL (VALENCIA),46130,961440239
MULTIOPTICAS,"BORJA, OPT. BORJA OPTICOS OLIVA S.L.",002714,002714,X13,MAC,3,2,7,77.00,254.00,5.00,9.00,9,3,5,2012-04-08,VALENCIA,ALEJANDRO CARDONA. 5,OLIVA (VALENCIA),46780,962839747
